dyadid,org,sidea,sideaid,sideacomponents,sideb,sidebid,sidebcomponents,startdate,startprec,startdate2,startprec2,epend,ependdate,ependprec,year,bestfatalityestimate,lowfatalityestimate,highfatalityestimate,location,gwnolocation,region,version
2-210,3,Bodo,1675,,Santhal,1676,,5/16/1996,2,6/1/1998,1,1,11/18/1998,1,1998,94,94,119,India,750,3,2.5-2015
2-212,1,HuM,1677,,JKLF,1678,,5/5/1991,1,12/31/1993,5,1,12/31/1993,5,1993,75,75,75,India,750,3,2.5-2015
2-213,3,Kuki,1231,,Naga,1679,,9/15/1993,2,9/15/1993,2,0,,0,1993,211,211,383,India,750,3,2.5-2015
2-213,3,Kuki,1231,,Naga,1679,,9/15/1993,2,9/15/1993,2,0,,0,1994,41,41,41,India,750,3,2.5-2015
2-213,3,Kuki,1231,,Naga,1679,,9/15/1993,2,9/15/1993,2,1,12/31/1995,5,1995,74,74,74,India,750,3,2.5-2015
2-213,3,Kuki,1231,,Naga,1679,,9/15/1993,2,7/7/1997,1,0,,0,1997,70,70,72,India,750,3,2.5-2015
2-213,3,Kuki,1231,,Naga,1679,,9/15/1993,2,7/7/1997,1,1,10/16/1998,1,1998,39,39,39,India,750,3,2.5-2015
2-214,3,Dayak,1680,,Madurese,1681,,1/2/1997,2,1/7/1997,2,1,2/19/1997,1,1997,361,361,374,Indonesia,850,3,2.5-2015
2-214,3,Dayak,1680,,Madurese,1681,,1/2/1997,2,2/21/2001,1,1,4/3/2001,1,2001,496,496,663,Indonesia,850,3,2.5-2015
2-215,3,Dereiat,1682,,al-Shaman,1683,,10/15/1992,1,10/15/1992,1,1,10/20/1992,2,1992,266,266,266,Iraq,645,2,2.5-2015
2-216,1,IMK,1684,,PUK,1103,,8/2/1992,2,8/2/1992,2,0,,0,1992,29,29,29,Iraq,645,2,2.5-2015
2-216,1,IMK,1684,,PUK,1103,,8/2/1992,2,8/2/1992,2,0,,0,1993,122,122,164,Iraq,645,2,2.5-2015
2-216,1,IMK,1684,,PUK,1103,,8/2/1992,2,8/2/1992,2,1,8/7/1994,2,1994,62,62,62,Iraq,645,2,2.5-2015
2-217,1,KDP,1102,,PUK,1103,,4/23/1992,1,6/4/1994,5,0,,0,1994,646,646,944,Iraq,645,2,2.5-2015
2-217,1,KDP,1102,,PUK,1103,,4/23/1992,1,6/4/1994,5,0,,0,1995,330,330,330,Iraq,645,2,2.5-2015
2-217,1,KDP,1102,,PUK,1103,,4/23/1992,1,6/4/1994,5,0,,0,1996,130,130,265,Iraq,645,2,2.5-2015
2-217,1,KDP,1102,,PUK,1103,,4/23/1992,1,6/4/1994,5,1,11/9/1997,2,1997,99,99,103,Iraq,645,2,2.5-2015
2-218,1,KDP,1102,,PKK,1166,,8/31/1995,1,9/2/1995,3,1,12/6/1995,1,1995,338,338,694,Iraq,645,2,2.5-2015
2-218,1,KDP,1102,,PKK,1166,,8/31/1995,1,5/16/1997,1,1,12/1/1997,1,1997,229,229,269,"Iraq, Turkey","645, 640",2,2.5-2015
2-218,1,KDP,1102,,PKK,1166,,8/31/1995,1,7/11/2000,1,1,7/11/2000,1,2000,40,40,40,Iraq,645,2,2.5-2015
2-219,2,Supporters of JLP,1685,,Supporters of PNP,1686,,1/24/1989,3,7/1/2001,5,1,12/29/2001,5,2001,116,116,126,Jamaica,51,5,2.5-2015
22-Feb,1,Arrow Boys,1439,,LRA,1336,,9/28/2003,2,10/9/2003,1,1,12/16/2003,1,2003,71,71,71,Uganda,500,4,2.5-2015
2-220,3,Ajuran,1793,,Garre,1963,,3/16/2000,1,7/20/2000,2,1,11/30/2000,1,2000,78,78,90,"Kenya, Ethiopia","501, 530",4,2.5-2015
2-221,3,Borana,1445,,Samburu,1794,,6/19/1996,1,2/8/2001,1,1,2/8/2001,1,2001,30,30,30,Kenya,501,4,2.5-2015
2-224,3,Kalenjin,1903,,Luhya,1797,,4/9/1992,2,4/12/1992,1,0,,0,1992,69,69,69,Kenya,501,4,2.5-2015
2-224,3,Kalenjin,1903,,Luhya,1797,,4/9/1992,2,4/12/1992,1,1,10/25/1993,1,1993,27,27,27,Kenya,501,4,2.5-2015
2-225,3,Kalenjin,1903,,"Luo, Kisii",550104,"1768, 1796",3/15/1992,3,3/16/1992,1,1,4/9/1992,2,1992,40,40,40,Kenya,501,4,2.5-2015
2-226,3,Kisii,1796,,Maasai,1909,,10/31/1997,1,11/30/1997,3,1,12/28/1997,1,1997,57,57,62,Kenya,501,4,2.5-2015
2-227,3,Kikuyu,1795,,Maasai,1909,,6/10/1992,1,10/15/1993,1,1,10/27/1993,1,1993,60,52,60,Kenya,501,4,2.5-2015
2-228,3,Marakwet,1798,,Pokot,1529,,3/31/1999,5,3/12/2001,1,1,3/12/2001,1,2001,65,65,79,Kenya,501,4,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,1997,46,46,72,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,1998,130,130,335,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,1999,143,143,218,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,2000,247,247,295,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,2001,447,447,640,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,2002,569,554,851,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,2003,99,99,99,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,0,,0,2004,248,248,259,Colombia,100,5,2.5-2015
23-Feb,1,AUC,1632,,FARC,1604,,5/12/1997,1,10/30/1997,2,1,10/28/2005,1,2005,190,190,199,Colombia,100,5,2.5-2015
2-230,3,Nandi,1799,,Pokot,1529,,8/12/1998,2,9/1/1998,3,1,9/1/1998,3,1998,35,35,35,Kenya,501,4,2.5-2015
2-232,3,"Orma, Wardei",550103,"1800, 1801",Pokomo,1802,,3/7/2001,2,12/6/2001,1,1,12/8/2001,1,2001,66,66,78,Kenya,501,4,2.5-2015
2-233,3,"Pokot, Samburu",550102,"1529, 1794",Turkana,1554,,12/3/1996,1,12/3/1996,1,1,12/3/1996,1,1996,51,51,51,Kenya,501,4,2.5-2015
2-234,1,Amal,1081,,Hezbollah,1209,,1/1/1989,1,1/8/1989,1,0,,0,1989,213,213,245,Lebanon,660,2,2.5-2015
2-234,1,Amal,1081,,Hezbollah,1209,,1/1/1989,1,1/8/1989,1,1,8/31/1990,1,1990,271,244,286,Lebanon,660,2,2.5-2015
2-235,1,Fatah,1049,,Fatah Revolutionary Council,1687,,5/31/1990,2,9/7/1990,1,1,9/9/1990,1,1990,78,78,83,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,10/4/1992,1,0,,0,1992,30,30,36,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,10/4/1992,1,0,,0,1993,26,19,28,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,10/4/1992,1,0,,0,1994,48,48,49,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,10/4/1992,1,1,12/24/1995,1,1995,36,36,43,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,12/31/1998,5,0,,0,1998,31,31,33,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,12/31/1998,5,0,,0,1999,30,28,30,Lebanon,660,2,2.5-2015
2-236,1,Hezbollah,1209,,SLA,1688,,10/24/1989,1,12/31/1998,5,1,5/12/2000,1,2000,27,26,27,Lebanon,660,2,2.5-2015
2-237,1,Forces of Michel Aoun,1084,,Lebanese Forces,1085,,2/15/1989,1,2/15/1989,1,0,,0,1989,66,56,75,Lebanon,660,2,2.5-2015
2-237,1,Forces of Michel Aoun,1084,,Lebanese Forces,1085,,2/15/1989,1,2/15/1989,1,1,6/19/1990,1,1990,786,714,1034,Lebanon,660,2,2.5-2015
2-238,1,INPFL,1359,,NPFL,1358,,1/31/1990,3,1/31/1990,3,1,10/14/1990,1,1990,45,45,102,Liberia,450,4,2.5-2015
2-239,1,LPC,1496,,NPFL,1358,,10/11/1993,1,9/11/1994,1,0,,0,1994,192,191,192,Liberia,450,4,2.5-2015
2-239,1,LPC,1496,,NPFL,1358,,10/11/1993,1,9/11/1994,1,1,8/9/1995,1,1995,50,50,218,"Liberia, Ivory Coast","450, 437",4,2.5-2015
2-240,1,NPFL,1358,,ULIMO,1558,,9/4/1991,1,10/23/1991,2,0,,0,1991,313,313,313,"Sierra Leone, Liberia","451, 450",4,2.5-2015
2-240,1,NPFL,1358,,ULIMO,1558,,9/4/1991,1,10/23/1991,2,1,12/8/1992,1,1992,55,55,1555,Liberia,450,4,2.5-2015
2-241,1,"NPFL, ULIMO-K",545001,"1358, 1557","AFL, LPC, ULIMO-J",545002,"1428, 1496, 1556",4/9/1996,2,4/16/1996,1,1,5/24/1996,2,1996,2000,347,3000,Liberia,450,4,2.5-2015
2-242,1,ULIMO - J,1556,,ULIMO - K,1557,,5/31/1992,2,3/10/1994,3,1,6/24/1994,1,1994,303,303,423,"Liberia, Sierra Leone","450, 451",4,2.5-2015
2-243,1,"ARLA, FIAA, FPLA",543201,"1804, 1374, 1803",MPA,1373,,6/12/1994,2,6/12/1994,2,1,6/12/1994,2,1994,30,30,30,Mali,432,4,2.5-2015
2-244,3,Fulani,1461,,Touareg,1806,,3/31/1997,3,7/5/1997,1,1,7/5/1997,1,1997,34,34,34,"Mali, Niger","432, 436",4,2.5-2015
2-244,3,Fulani,1461,,Touareg,1806,,3/31/1997,3,2/6/2014,1,0,,0,2014,30,30,30,Mali,432,4,2.5-2015
2-245,3,Garcia clan,1689,,Pena Rojas clan,1690,,2/6/1993,1,2/9/1993,1,1,2/9/1993,1,1993,27,27,27,Mexico,70,5,2.5-2015
2-246,1,Naparama,1807,,Renamo,1347,,5/20/1991,1,6/29/1991,1,1,12/5/1991,1,1991,63,63,94,Mozambique,541,4,2.5-2015
2-247,1,MDA,1691,,MDA - LM,1692,,11/24/2000,1,12/10/2000,3,1,12/10/2000,3,2000,70,70,250,Myanmar (Burma),775,3,2.5-2015
2-248,1,MTA,1097,,UWSA,1207,,2/14/1990,3,2/14/1990,3,0,,0,1990,234,102,266,Myanmar (Burma),775,3,2.5-2015
2-248,1,MTA,1097,,UWSA,1207,,2/14/1990,3,2/14/1990,3,1,12/21/1991,3,1991,357,357,357,"Myanmar (Burma), Thailand","775, 800",3,2.5-2015
2-248,1,MTA,1097,,UWSA,1207,,2/14/1990,3,9/21/1995,2,1,12/31/1995,5,1995,1042,1042,1542,Myanmar (Burma),775,3,2.5-2015
2-249,3,Adoni,1808,,Ogoni,1910,,7/9/1993,1,7/9/1993,1,1,9/20/1993,2,1993,1085,1085,1085,Nigeria,475,4,2.5-2015
25-Feb,1,Bangadi Militia,1762,,LRA,1336,,10/20/2008,1,10/20/2008,1,1,10/20/2008,1,2008,27,27,36,DR Congo (Zaire),490,4,2.5-2015
2-251,3,Azara,1811,,Tiv,1911,,6/25/2001,3,6/25/2001,3,1,6/25/2001,3,2001,200,200,200,Nigeria,475,4,2.5-2015
2-252,3,Efik,1812,,Ibibio,1813,,2/18/1992,2,5/21/2000,2,1,5/21/2000,2,2000,90,90,90,Nigeria,475,4,2.5-2015
2-253,3,Fulani,1461,,Wurukum,1814,,2/28/1999,3,3/29/1999,5,1,3/29/1999,5,1999,100,100,100,Nigeria,475,4,2.5-2015
2-254,3,"Afisare, Anaguta, Birom",547510,"1815, 1433, 1443","Fulani, Hausa",547520,"1461, 1462",9/8/2001,2,9/8/2001,2,1,9/13/2001,2,2001,1000,1000,3000,Nigeria,475,4,2.5-2015
2-254,3,"Afisare, Anaguta, Birom",547510,"1815, 1433, 1443","Fulani, Hausa",547520,"1461, 1462",9/8/2001,2,11/29/2008,2,1,11/29/2008,2,2008,200,200,200,Nigeria,475,4,2.5-2015
2-255,3,Hausa,1462,,Ninzam,1816,,5/21/1999,1,5/21/1999,1,1,5/21/1999,1,1999,100,100,100,Nigeria,475,4,2.5-2015
2-256,3,Ife,1817,,Modakeke,1818,,8/19/1997,2,8/19/1997,2,0,,0,1997,144,144,144,Nigeria,475,4,2.5-2015
2-256,3,Ife,1817,,Modakeke,1818,,8/19/1997,2,8/19/1997,2,1,8/18/1998,1,1998,34,34,40,Nigeria,475,4,2.5-2015
2-256,3,Ife,1817,,Modakeke,1818,,8/19/1997,2,3/3/2000,1,1,5/4/2000,1,2000,61,61,69,Nigeria,475,4,2.5-2015
2-257,3,Ijaw,1477,,Ilaje,1819,,9/24/1998,1,9/30/1998,3,0,,0,1998,50,50,50,Nigeria,475,4,2.5-2015
2-257,3,Ijaw,1477,,Ilaje,1819,,9/24/1998,1,9/30/1998,3,1,9/26/1999,2,1999,70,70,70,Nigeria,475,4,2.5-2015
2-258,3,Ijaw,1477,,Urhobo,1820,,3/30/1997,2,3/20/1998,1,1,3/20/1998,1,1998,30,30,30,Nigeria,475,4,2.5-2015
2-259,3,Jukun,1821,,Tiv,1911,,10/10/1990,3,10/31/1991,3,0,,0,1991,30,30,1050,Nigeria,475,4,2.5-2015
2-259,3,Jukun,1821,,Tiv,1911,,10/10/1990,3,10/31/1991,3,1,2/20/1992,3,1992,100,100,1050,Nigeria,475,4,2.5-2015
2-259,3,Jukun,1821,,Tiv,1911,,10/10/1990,3,10/15/2001,3,1,12/6/2001,1,2001,545,545,545,Nigeria,475,4,2.5-2015
26-Feb,3,Bangesh,1651,,Turi,1652,,4/8/2008,1,8/9/2008,1,0,,0,2008,449,449,570,Pakistan,770,3,2.5-2015
26-Feb,3,Bangesh,1651,,Turi,1652,,4/8/2008,1,8/9/2008,1,1,7/1/2009,1,2009,115,115,115,Pakistan,770,3,2.5-2015
2-260,3,Fulani,1461,,Karimjo,1822,,4/14/1996,3,4/14/1996,3,1,4/14/1996,3,1996,80,40,80,Nigeria,475,4,2.5-2015
2-261,3,Kwala,1823,,Tiv,1911,,4/5/2001,2,4/5/2001,2,1,4/5/2001,2,2001,50,46,50,Nigeria,475,4,2.5-2015
2-262,3,Odtikas,1824,,Ogoni,1910,,12/1/1992,1,12/1/1992,1,1,12/1/1992,1,1992,60,60,60,Nigeria,475,4,2.5-2015
2-263,3,Ndoki,1825,,Ogoni,1910,,4/30/1994,3,4/30/1994,3,1,4/30/1994,3,1994,30,20,30,Nigeria,475,4,2.5-2015
2-264,3,Eleme,1826,,Okrika,1912,,10/4/1999,1,10/4/1999,1,1,10/4/1999,1,1999,25,25,30,Nigeria,475,4,2.5-2015
2-265,3,Ogoni,1910,,Okrika,1912,,12/13/1993,2,12/13/1993,2,1,12/13/1993,2,1993,90,90,95,Nigeria,475,4,2.5-2015
2-266,3,Igbo,1476,,Tiv,1911,,12/18/1998,2,12/18/1998,2,1,12/18/1998,2,1998,32,32,32,Nigeria,475,4,2.5-2015
2-267,3,Aguleri,1828,,Umuleri,1827,,4/23/1999,3,4/23/1999,3,1,7/31/1999,3,1999,420,97,420,Nigeria,475,4,2.5-2015
2-268,3,"Ijaw, Urhobo",547501,"1477, 1820",Itsekiri,1480,,6/4/1999,1,6/7/1999,2,1,6/9/1999,1,1999,39,39,39,Nigeria,475,4,2.5-2015
2-269,1,MQM,1197,,MQM-H,1693,,6/19/1991,1,9/14/1994,1,0,,0,1994,87,87,87,Pakistan,770,3,2.5-2015
2-269,1,MQM,1197,,MQM-H,1693,,6/19/1991,1,9/14/1994,1,1,6/26/1995,1,1995,42,42,45,Pakistan,770,3,2.5-2015
2-269,1,MQM,1197,,MQM-H,1693,,6/19/1991,1,6/20/1997,5,0,,0,1997,73,73,73,Pakistan,770,3,2.5-2015
2-269,1,MQM,1197,,MQM-H,1693,,6/19/1991,1,6/20/1997,5,1,10/31/1998,1,1998,38,38,66,Pakistan,770,3,2.5-2015
27-Feb,3,Bena Kapuya,1504,,Bena Nsimba,1503,,9/20/2007,2,9/22/2007,2,1,9/22/2007,2,2007,25,25,25,DR Congo (Zaire),490,4,2.5-2015
2-271,3,Wagia subclan of Takima,1696,,Wayai subclan of Takima,1697,,5/31/2001,3,5/31/2001,3,1,5/31/2001,3,2001,25,25,25,Papua New Guinea,910,3,2.5-2015
2-272,3,Unjamap,1699,,Wogia-Tunjup,1698,,1/14/2000,3,12/22/2001,1,1,12/28/2001,2,2001,36,36,56,Papua New Guinea,910,3,2.5-2015
2-273,3,Hadji Faizal Abdulkarim clan,1700,,Hadji Masir Ahalul clan,1701,,7/13/1998,2,7/13/1998,2,1,7/13/1998,2,1998,30,30,30,Philippines,840,3,2.5-2015
2-274,3,Armenian,1703,,Azeri,1702,,1/31/1989,3,1/31/1989,3,0,,0,1989,42,42,42,Russia (Soviet Union),365,1,2.5-2015
2-274,3,Armenian,1703,,Azeri,1702,,1/31/1989,3,1/31/1989,3,1,12/2/1990,1,1990,27,27,27,Russia (Soviet Union),365,1,2.5-2015
2-275,1,Chechen Republic of Ichkeria,1195,,Forces of Ruslan Labazanov,1704,,6/13/1994,1,6/13/1994,1,1,6/13/1994,1,1994,180,180,300,Russia (Soviet Union),365,1,2.5-2015
2-276,1,Chechen Republic of Ichkeria,1195,,Provisional Council of the Chechen Republic,1705,,9/1/1994,1,10/9/1994,2,1,10/19/1994,1,1994,64,64,70,Russia (Soviet Union),365,1,2.5-2015
2-278,1,Republic of Georgia,1706,,Republic of South Ossetia,1186,,1/20/1991,2,2/7/1991,2,1,12/1/1991,1,1991,87,87,93,Russia (Soviet Union),365,1,2.5-2015
2-279,3,Abdalle subclan of Habar Awal clan (Isaaq),1829,,Aidagalla subclan of Habar Garhadjis clan (Isaaq),1830,,7/11/1996,1,7/31/1996,2,1,7/31/1996,2,1996,34,34,34,Somalia,520,4,2.5-2015
28-Feb,3,Bi'idyahan subclan of Majerteen clan (Darod),1570,,Ismail subclan of Makahil clan (Darod),1571,,12/31/2003,5,12/31/2003,5,1,12/31/2003,5,2003,280,280,280,Ethiopia,530,4,2.5-2015
2-280,3,Abdalleh-Agon-Yar subclan of Abgal clan (Hawiye),1831,,Eli-Agon-Yar subclan of Abgal clan (Hawiye),1832,,1/10/2000,1,2/26/2000,1,1,2/26/2000,1,2000,26,22,26,Somalia,520,4,2.5-2015
2-281,3,Abdulleh-Galmaha subclan of Abgal clan (Hawiye),1833,,Kabaloh subclan of Abgal clan (Hawiye),1834,,5/22/2001,2,7/7/2001,1,1,7/9/2001,2,2001,33,33,33,Somalia,520,4,2.5-2015
2-282,3,Abgal clan (Hawiye),1907,,Galgalo,1835,,12/4/1990,2,12/4/1990,2,1,12/12/1990,3,1990,50,50,150,Somalia,520,4,2.5-2015
2-283,1,SPM,1351,,Forces of Omar Jess,1837,,2/2/2000,1,2/11/2000,1,1,2/11/2000,1,2000,41,37,50,Somalia,520,4,2.5-2015
2-284,3,Ayr subclan of Habar Gidir clan (Hawiye),1838,,Sa'ad subclan of Habar Gidir clan (Hawiye),1540,,8/29/1997,1,7/16/2001,1,1,7/16/2001,1,2001,50,50,100,Somalia,520,4,2.5-2015
2-285,3,Abdalle-Aroneh subclan of Abgal clan (Hawiye),1840,,Eli-Omar subclan of Abgal clan (Hawiye),1839,,1/27/1999,1,1/27/1999,1,1,1/27/1999,1,1999,31,31,31,Somalia,520,4,2.5-2015
2-286,1,Forces of Abdirizak Bihi,1841,,Forces of Ahmed Sheikh Buraleh,1842,,3/30/2001,1,3/30/2001,1,1,3/30/2001,1,2001,33,33,33,Somalia,520,4,2.5-2015
2-287,1,Forces of Hussein Ali Ahmed,1843,,USC/SSA,1352,,3/13/1999,1,3/20/1999,2,1,9/20/1999,1,1999,113,113,116,Somalia,520,4,2.5-2015
2-288,1,Forces of Abdurahman Ahmed Ali 'Tur',1846,,Republic of Somaliland,1535,,10/15/1994,1,11/16/1994,2,0,,0,1994,320,320,320,Somalia,520,4,2.5-2015
2-288,1,Forces of Abdurahman Ahmed Ali 'Tur',1846,,Republic of Somaliland,1535,,10/15/1994,1,11/16/1994,2,1,10/28/1995,1,1995,145,145,337,"Somalia, Djibouti","520, 522",4,2.5-2015
2-289,3,Garre subclan of Digil clan (Digil-Mirifle),1466,,Jiddo subclan of Digil clan (Digil-Mirifle),1488,,5/20/2000,2,6/19/2000,2,1,10/22/2000,2,2000,42,29,54,Somalia,520,4,2.5-2015
2-289,3,Garre subclan of Digil clan (Digil-Mirifle),1466,,Jiddo subclan of Digil clan (Digil-Mirifle),1488,,5/20/2000,2,1/26/2002,2,1,1/26/2002,2,2002,28,26,32,Somalia,520,4,2.5-2015
Feb-29,2,Supporters of Awami League,1215,,Supporters of BNP,1217,,9/7/1989,1,8/26/2001,5,1,10/3/2001,1,2001,56,51,68,Bangladesh,771,3,2.5-2015
2-290,3,Habar Gidir clan (Hawiye),1914,,Xawaadle clan (Hawiye),1758,,9/10/1993,1,4/23/1994,2,1,5/2/1994,1,1994,38,38,40,Somalia,520,4,2.5-2015
2-291,3,Habar Gidir clan (Hawiye),1914,,Marehan subclan of Sede clan (Darod),1501,,1/13/1993,1,1/13/1993,1,1,1/13/1993,1,1993,30,30,30,Somalia,520,4,2.5-2015
2-291,3,Habar Gidir clan (Hawiye),1914,,Marehan subclan of Sede clan (Darod),1501,,1/13/1993,1,7/8/1995,2,1,7/8/1995,2,1995,31,31,54,Somalia,520,4,2.5-2015
2-293,3,Galje'el clan (Hawiye),1464,,Xawaadle clan (Hawiye),1758,,8/8/2000,1,8/28/2000,2,1,9/24/2000,2,2000,62,60,72,Somalia,520,4,2.5-2015
2-294,1,Republic of Somaliland,1535,,SNM - 'Calan cas',1990,,1/20/1992,3,1/20/1992,3,1,8/31/1992,5,1992,2500,2500,2500,Somalia,520,4,2.5-2015
2-298,1,SNF,1918,,USC/SNA,1353,,4/28/1992,1,4/28/1992,1,0,,0,1992,60,60,60,Somalia,520,4,2.5-2015
2-298,1,SNF,1918,,USC/SNA,1353,,4/28/1992,1,4/28/1992,1,1,2/1/1993,1,1993,39,39,39,Somalia,520,4,2.5-2015
2-299,1,SNF - MSAB,1851,,SNF,1918,,4/7/1999,1,9/17/1999,1,1,9/17/1999,1,1999,51,51,51,Somalia,520,4,2.5-2015
3-Feb,3,Abudu ,1424,,Andani,1759,,3/27/2002,2,3/27/2002,2,1,3/27/2002,2,2002,36,25,40,Ghana,452,4,2.5-2015
Feb-30,3,Bokora Karimojong,1444,,Jie,1489,,1/12/2003,1,1/15/2003,2,1,5/22/2003,1,2003,102,102,178,Uganda,500,4,2.5-2015
Feb-30,3,Bokora Karimojong,1444,,Jie,1489,,1/12/2003,1,3/30/2007,1,1,5/12/2007,1,2007,34,34,34,Uganda,500,4,2.5-2015
2-300,1,SPM,1351,,SPM/SNA,1852,,5/10/1992,3,5/10/1992,3,0,,0,1992,300,300,300,Somalia,520,4,2.5-2015
2-300,1,SPM,1351,,SPM/SNA,1852,,5/10/1992,3,5/10/1992,3,0,,0,1993,184,184,249,Somalia,520,4,2.5-2015
2-300,1,SPM,1351,,SPM/SNA,1852,,5/10/1992,3,5/10/1992,3,1,2/24/1994,3,1994,30,28,77,Somalia,520,4,2.5-2015
2-301,1,AIAI,1394,,SSDF,1349,,6/19/1992,1,6/26/1992,2,1,6/30/1992,1,1992,625,625,625,Somalia,520,4,2.5-2015
2-302,1,DSA,1853,,USC/SNA,1353,,7/25/1999,1,8/1/1999,1,1,10/4/1999,1,1999,35,35,46,Somalia,520,4,2.5-2015
2-303,1,RRA,1538,,USC/SNA,1353,,10/11/1995,1,10/14/1995,1,0,,0,1995,103,103,378,Somalia,520,4,2.5-2015
2-303,1,RRA,1538,,USC/SNA,1353,,10/11/1995,1,10/14/1995,1,0,,0,1996,104,104,420,Somalia,520,4,2.5-2015
2-303,1,RRA,1538,,USC/SNA,1353,,10/11/1995,1,10/14/1995,1,0,,0,1997,41,41,159,Somalia,520,4,2.5-2015
2-303,1,RRA,1538,,USC/SNA,1353,,10/11/1995,1,10/14/1995,1,0,,0,1998,72,72,108,Somalia,520,4,2.5-2015
2-303,1,RRA,1538,,USC/SNA,1353,,10/11/1995,1,10/14/1995,1,1,10/16/1999,1,1999,107,94,204,Somalia,520,4,2.5-2015
2-306,1,SSDF,1349,,USC/SNA,1353,,1/8/1993,1,1/8/1993,1,1,1/8/1993,1,1993,200,200,200,Somalia,520,4,2.5-2015
2-307,1,USC/SNA,1353,,USC/SNA - OA,1854,,2/26/1995,1,9/12/1995,1,0,,0,1995,31,31,34,Somalia,520,4,2.5-2015
2-307,1,USC/SNA,1353,,USC/SNA - OA,1854,,2/26/1995,1,9/12/1995,1,0,,0,1996,361,360,407,Somalia,520,4,2.5-2015
2-307,1,USC/SNA,1353,,USC/SNA - OA,1854,,2/26/1995,1,9/12/1995,1,1,5/6/1997,1,1997,39,39,42,Somalia,520,4,2.5-2015
2-308,1,USC/SNA,1353,,USC-PM,1855,,4/10/1995,1,4/10/1995,1,1,4/10/1995,1,1995,46,46,46,Somalia,520,4,2.5-2015
2-309,1,ANC - 'Greens',1856,,ANC - 'Reds',1857,,1/23/1993,1,7/10/1993,1,1,11/17/1993,1,1993,30,30,41,South Africa,560,4,2.5-2015
Feb-31,3,Bokora Karimojong,1444,,Pian Karimojong,1528,,1/24/2001,1,1/12/2003,1,1,1/12/2003,1,2003,30,30,30,Uganda,500,4,2.5-2015
Feb-31,3,Bokora Karimojong,1444,,Pian Karimojong,1528,,1/24/2001,1,9/19/2005,1,1,9/19/2005,1,2005,28,28,28,Uganda,500,4,2.5-2015
2-310,2,Supporters of ANC,1971,,Supporters of AZAPO,1858,,3/26/1990,1,11/5/1990,1,1,12/8/1990,2,1990,32,32,41,South Africa,560,4,2.5-2015
2-311,1,CATA,1860,,Codeta,1859,,10/16/1994,1,4/30/1996,3,1,11/30/1996,3,1996,71,71,71,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1989,65,65,66,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1990,899,899,1366,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1991,615,612,953,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1992,650,650,809,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1993,612,612,887,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1994,421,421,550,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,0,,0,1995,143,143,175,South Africa,560,4,2.5-2015
2-312,2,Supporters of ANC,1971,,Supporters of IFP,1475,,1/6/1989,1,9/4/1989,1,1,12/28/1996,1,1996,55,54,156,South Africa,560,4,2.5-2015
